代码,名称,二级行业代码,二级行业名称,三级行业代码,三级行业名称
601001,大同煤业,2004,煤炭,5010,煤炭Ⅱ
601002,晋亿实业,2037,机械配件,5097,其他基础件
601003,柳钢股份,2006,钢铁,5015,普钢
601005,*ST重钢,2006,钢铁,5015,普钢
601006,大秦铁路,2055,铁路运输,5177,铁路运输Ⅱ
601007,金陵饭店,2067,酒店餐饮,5166,酒店
601008,连云港,2060,港口,5182,港口Ⅱ
601009,南京银行,2069,银行,5186,银行Ⅱ
601010,文峰股份,2066,零售业,5162,百货
601011,宝泰隆,2004,煤炭,5009,焦炭
601012,隆基股份,2077,复合材料,5083,光伏电池
601015,陕西黑猫,2004,煤炭,5009,焦炭
601016,节能风电,2052,电力,5209,电力Ⅱ
601018,宁波港,2060,港口,5182,港口Ⅱ
601019,山东出版,2073,文化传媒,5170,出版发行
601020,华钰矿业,2007,有色金属,5021,金属采掘
601021,春秋航空,2058,航空运输,5180,航空运输Ⅱ
601028,玉龙股份,2033,金属制品,5093,金属制品Ⅱ
601038,一拖股份,2038,专用设备,5114,其他专用设备
601058,赛轮金宇,2081,塑胶制品,5212,橡胶
601069,西部黄金,2008,有色矿采,5201,黄金
601086,国芳集团,2066,零售业,5162,百货
601088,中国神华,2004,煤炭,5010,煤炭Ⅱ
601098,中南传媒,2073,文化传媒,5170,出版发行
601099,太平洋,2070,证券期货,5188,证券
601100,恒立液压,2038,专用设备,5110,重型设备
601101,昊华能源,2004,煤炭,5010,煤炭Ⅱ
601106,*ST一重,2038,专用设备,5110,重型设备
601107,四川成渝,2059,高速公路,5181,高速公路Ⅱ
601108,财通证券,2070,证券期货,5188,证券
601111,中国国航,2058,航空运输,5180,航空运输Ⅱ
601113,华鼎股份,2020,化纤,5063,锦纶
601116,三江购物,2066,零售业,5163,超市连锁
601117,中国化学,2054,工程建筑,5193,专业工程
601118,海南橡胶,2081,塑胶制品,5212,橡胶
601126,四方股份,2039,电气设备,5115,电气自控设备
601127,小康股份,2042,汽车制造,5125,乘用车
601128,常熟银行,2069,银行,5186,银行Ⅱ
601137,博威合金,2007,有色金属,5019,金属压延
601139,深圳燃气,2053,公用事业,5137,供气
601155,新城控股,2072,房地产,5191,房地产Ⅱ
601158,重庆水务,2053,公用事业,5139,水务
601163,三角轮胎,2081,塑胶制品,5212,橡胶
601166,兴业银行,2069,银行,5186,银行Ⅱ
601168,西部矿业,2007,有色金属,5021,金属采掘
601169,北京银行,2069,银行,5186,银行Ⅱ
601177,杭齿前进,2037,机械配件,5095,齿轮、制动制造
601179,中国西电,2039,电气设备,5116,输变电设备
601186,中国铁建,2054,工程建筑,5193,专业工程
601188,龙江交通,2059,高速公路,5181,高速公路Ⅱ
601198,东兴证券,2070,证券期货,5188,证券
601199,江南水务,2053,公用事业,5139,水务
601200,上海环境,2082,环境保护,5216,环境保护Ⅱ
601208,东材科技,2077,复合材料,5082,复合材料Ⅱ
601211,国泰君安,2070,证券期货,5188,证券
601212,白银有色,2008,有色矿采,5202,稀有金属
601216,君正集团,2016,化工,5048,氯碱
601218,吉鑫科技,2039,电气设备,5118,输变电配件
601222,林洋能源,2041,仪器仪表,5120,仪器仪表Ⅱ
601225,陕西煤业,2004,煤炭,5010,煤炭Ⅱ
601226,华电重工,2054,工程建筑,5193,专业工程
601228,广州港,2060,港口,5182,港口Ⅱ
601229,上海银行,2069,银行,5186,银行Ⅱ
601231,环旭电子,2047,电子元器件,5141,基础元器件
601233,桐昆股份,2020,化纤,5064,涤纶
601238,广汽集团,2042,汽车制造,5125,乘用车
601258,庞大集团,2066,零售业,5161,汽车服务
601268,*ST二重,2038,专用设备,5110,重型设备
601288,农业银行,2069,银行,5186,银行Ⅱ
601311,骆驼股份,2079,轻工产品,5176,普通电池
601313,江南嘉捷,2038,专用设备,5105,电梯
601318,中国平安,2071,保险,5187,保险Ⅱ
601326,秦港股份,2060,港口,5182,港口Ⅱ
601328,交通银行,2069,银行,5186,银行Ⅱ
601333,广深铁路,2055,铁路运输,5177,铁路运输Ⅱ
601336,新华保险,2071,保险,5187,保险Ⅱ
601339,百隆东方,2011,纺织,5036,棉纺
601366,利群股份,2066,零售业,5163,超市连锁
601368,绿城水务,2053,公用事业,5139,水务
601369,陕鼓动力,2038,专用设备,5114,其他专用设备
601375,中原证券,2070,证券期货,5188,证券
601377,兴业证券,2070,证券期货,5188,证券
601388,怡球资源,2007,有色金属,5021,金属采掘
601390,中国中铁,2054,工程建筑,5193,专业工程
601398,工商银行,2069,银行,5186,银行Ⅱ
601500,通用股份,2081,塑胶制品,5212,橡胶
601515,东风股份,2015,包装印刷,5046,印刷
601518,吉林高速,2059,高速公路,5181,高速公路Ⅱ
601519,*ST智慧,2063,软件及系统,5155,行业应用系统
601555,东吴证券,2070,证券期货,5188,证券
601558,*ST锐电,2039,电气设备,5117,发电机组
601566,九牧王,2012,服装,5040,服装Ⅱ
601567,三星医疗,2025,医疗服务,5205,医疗服务Ⅱ
601579,会稽山,2010,酿酒,5033,黄酒
601588,北辰实业,2072,房地产,5191,房地产Ⅱ
601595,上海电影,2073,文化传媒,5173,广播电影电视
601599,鹿港文化,2073,文化传媒,5173,广播电影电视
601600,中国铝业,2007,有色金属,5021,金属采掘
601601,中国太保,2071,保险,5187,保险Ⅱ
601607,上海医药,2024,医药流通,5080,医药流通Ⅱ
601608,中信重工,2038,专用设备,5110,重型设备
601611,中国核建,2054,工程建筑,5193,专业工程
601616,广电电气,2039,电气设备,5116,输变电设备
601618,中国中冶,2054,工程建筑,5193,专业工程
601619,嘉泽新能,2052,电力,5209,电力Ⅱ
601628,中国人寿,2071,保险,5187,保险Ⅱ
601633,长城汽车,2042,汽车制造,5125,乘用车
601636,旗滨集团,2032,建材,5090,玻璃
601666,平煤股份,2004,煤炭,5010,煤炭Ⅱ
601668,中国建筑,2054,工程建筑,5192,一般工程
601669,中国电建,2054,工程建筑,5193,专业工程
601677,明泰铝业,2007,有色金属,5019,金属压延
601678,滨化股份,2016,化工,5048,氯碱
601688,华泰证券,2070,证券期货,5188,证券
601689,拓普集团,2043,汽车配件,5129,汽车配件Ⅱ
601699,潞安环能,2004,煤炭,5010,煤炭Ⅱ
601700,风范股份,2039,电气设备,5116,输变电设备
601717,郑煤机,2038,专用设备,5113,矿采冶金设备
601718,际华集团,2012,服装,5040,服装Ⅱ
601727,上海电气,2039,电气设备,5117,发电机组
601766,中国中车,2038,专用设备,5104,铁路设备
601777,力帆股份,2042,汽车制造,5125,乘用车
601788,光大证券,2070,证券期货,5188,证券
601789,宁波建工,2054,工程建筑,5192,一般工程
601798,蓝科高新,2038,专用设备,5114,其他专用设备
601799,星宇股份,2043,汽车配件,5129,汽车配件Ⅱ
601800,中国交建,2054,工程建筑,5193,专业工程
601801,皖新传媒,2073,文化传媒,5170,出版发行
601808,中海油服,2005,石油石化,5013,石油技术服务
601811,新华文轩,2073,文化传媒,5170,出版发行
601818,光大银行,2069,银行,5186,银行Ⅱ
601857,中国石油,2005,石油石化,5014,石油开采
601858,中国科传,2073,文化传媒,5170,出版发行
601866,中远海发,2057,水上运输,5179,远洋运输
601872,招商轮船,2057,水上运输,5179,远洋运输
601877,正泰电器,2039,电气设备,5116,输变电设备
601878,浙商证券,2070,证券期货,5188,证券
601880,大连港,2060,港口,5182,港口Ⅱ
601881,中国银河,2070,证券期货,5188,证券
601882,海天精工,2035,机床设备,5099,机床
601886,江河集团,2054,工程建筑,5194,建筑装饰
601888,中国国旅,2068,旅游,5169,旅游服务
601890,亚星锚链,2044,船舶制造,5131,船舶制造Ⅱ
601898,中煤能源,2004,煤炭,5010,煤炭Ⅱ
601899,紫金矿业,2008,有色矿采,5201,黄金
601900,南方传媒,2073,文化传媒,5170,出版发行
601901,方正证券,2070,证券期货,5188,证券
601908,京运通,2038,专用设备,5114,其他专用设备
601918,新集能源,2004,煤炭,5010,煤炭Ⅱ
601919,中远海控,2057,水上运输,5179,远洋运输
601928,凤凰传媒,2073,文化传媒,5170,出版发行
601929,吉视传媒,2073,文化传媒,5171,有线电视网络
601933,永辉超市,2066,零售业,5163,超市连锁
601939,建设银行,2069,银行,5186,银行Ⅱ
601949,中国出版,2073,文化传媒,5170,出版发行
601952,苏垦农发,2001,农林,5002,农产品
601958,金钼股份,2008,有色矿采,5202,稀有金属
601965,中国汽研,2042,汽车制造,5127,专用车
601966,玲珑轮胎,2081,塑胶制品,5212,橡胶
601968,宝钢包装,2033,金属制品,5093,金属制品Ⅱ
601969,海南矿业,2006,钢铁,5016,铁矿石
601985,中国核电,2052,电力,5209,电力Ⅱ
601988,中国银行,2069,银行,5186,银行Ⅱ
601989,中国重工,2044,船舶制造,5131,船舶制造Ⅱ
601991,大唐发电,2052,电力,5135,火电
601992,金隅股份,2029,水泥,5087,水泥Ⅱ
601996,丰林集团,2013,木材家具,5042,木材家具Ⅱ
601997,贵阳银行,2069,银行,5186,银行Ⅱ
601998,中信银行,2069,银行,5186,银行Ⅱ
601999,出版传媒,2073,文化传媒,5170,出版发行
603000,人民网,2076,互联网,5158,互联网Ⅱ
603001,奥康国际,2012,服装,5040,服装Ⅱ
603002,宏昌电子,2016,化工,5055,其他化工制品
603003,龙宇燃油,2005,石油石化,5012,石油贸易
603005,晶方科技,2047,电子元器件,5143,集成电路
603006,联明股份,2043,汽车配件,5129,汽车配件Ⅱ
603007,花王股份,2080,园林工程,5203,园林工程Ⅱ
603008,喜临门,2013,木材家具,5042,木材家具Ⅱ
603009,北特科技,2043,汽车配件,5129,汽车配件Ⅱ
603010,万盛股份,2016,化工,5055,其他化工制品
603011,合锻智能,2035,机床设备,5100,设备
603012,创力集团,2038,专用设备,5113,矿采冶金设备
603015,弘讯科技,2041,仪器仪表,5119,工业控制自动化
603016,新宏泰,2039,电气设备,5118,输变电配件
603017,中衡设计,2054,工程建筑,5192,一般工程
603018,中设集团,2054,工程建筑,5192,一般工程
603019,中科曙光,2049,IT设备,5153,IT设备Ⅱ
603020,爱普股份,2009,食品饮料,5213,食品
603021,山东华鹏,2079,轻工产品,5174,轻工产品Ⅱ
603022,新通联,2015,包装印刷,5047,包装
603023,威帝股份,2043,汽车配件,5129,汽车配件Ⅱ
603025,大豪科技,2049,IT设备,5153,IT设备Ⅱ
603026,石大胜华,2016,化工,5055,其他化工制品
603027,千禾味业,2009,食品饮料,5213,食品
603028,赛福天,2033,金属制品,5093,金属制品Ⅱ
603029,天鹅股份,2038,专用设备,5114,其他专用设备
603030,全筑股份,2054,工程建筑,5194,建筑装饰
603031,安德利,2066,零售业,5162,百货
603032,德新交运,2059,高速公路,5181,高速公路Ⅱ
603033,三维股份,2081,塑胶制品,5212,橡胶
603035,常熟汽饰,2043,汽车配件,5129,汽车配件Ⅱ
603036,如通股份,2038,专用设备,5111,石油开采设备
603037,凯众股份,2043,汽车配件,5129,汽车配件Ⅱ
603038,华立股份,2077,复合材料,5082,复合材料Ⅱ
603039,泛微网络,2063,软件及系统,5155,行业应用系统
603040,新坐标,2033,金属制品,5093,金属制品Ⅱ
603041,美思德,2016,化工,5055,其他化工制品
603042,华脉科技,2048,通信设备,5147,通信终端设备
603043,广州酒家,2009,食品饮料,5213,食品
603050,科林电气,2039,电气设备,5116,输变电设备
603055,台华新材,2020,化纤,5063,锦纶
603058,永吉股份,2015,包装印刷,5046,印刷
603060,国检集团,2078,综合行业,5199,综合行业Ⅱ
603063,禾望电气,2039,电气设备,5116,输变电设备
603066,音飞储存,2062,仓储物流,5185,仓储物流Ⅱ
603067,振华股份,2016,化工,5053,无机盐
603069,海汽集团,2056,公共交通,5184,公共交通Ⅱ
603076,乐惠国际,2038,专用设备,5114,其他专用设备
603077,和邦生物,2016,化工,5050,纯碱
603078,江化微,2016,化工,5051,精细化工
603079,圣达生物,2021,医药制造,5071,化学原料药
603081,大丰实业,2038,专用设备,5114,其他专用设备
603083,剑桥科技,2050,电子设备,5154,电子设备Ⅱ
603085,天成自控,2043,汽车配件,5129,汽车配件Ⅱ
603086,先达股份,2018,农药,5067,农药Ⅱ
603088,宁波精达,2035,机床设备,5099,机床
